headline,text,answer_summary
Под Волгоградом из-за угрозы детонации после атаки ВСУ объявили эвакуацию,"Эвакуация жителей проводится в посёлке Котлубань в Волгоградской области из-за угрозы детонации после ракетной атаки украинских формирований, сообщил глава региона Андрей Бочаров. Он проинформировал, что ночью 12 февраля подразделения противовоздушной обороны отразили удар ВСУ. При этом из-за упавших обломков произошло возгорание на территории одного из объектов Министерства обороны России, который находится возле указанного населённого пункта. Для борьбы с огнём были задействованы силы противопожарных служб региона, МЧС и военного ведомства. О пострадавших или повреждениях гражданской инфраструктуры не сообщалось. «В целях обеспечения безопасности гражданского населения от угрозы детонации во время пожаротушения объявлена и ведётся эвакуация населения близлежащего населенного пункта Котлубань», — отметил губернатор, слова которого приводит в своём Telegram-канале правительство Волгоградской области. Бочаров уточнил, что для перевозки людей властями были подготовлены автобусы. С целью приёма эвакуированных также организованы пункты временного размещения. Их открыли на базе Городищенского районного дома культуры и Городищенской детско-юношеской спортивной школы.","Повреждён обьект Мин обороны РФ, риск детонации"
Замглавы Челябинской области Фалейчика задержали правоохранители,"В Челябинской области задержан заместитель губернатора Андрей Фалейчик, сообщил глава региона Алексей Текслер в своем Telegram-канале. По информации губернатора, задержание Фалейчика связано с его прежним местом работы — нахождением на должности главы Копейского городского округа. «Воздержусь от оценок, уверен, что следствие объективно разберется. Отмечу, что действующая администрация Копейска окажет следственным органам все необходимое содействие», — говорится в публикации Текслера. Губернатор Челябинской области подчеркнул, что в случае подтверждения вины задержанного тот понесет ответственность «по всей строгости закона». Как отмечает агентство РИА Новости со ссылкой на правоохранителей, Фалейчика задержали по факту получения взятки в особо крупном размере. Напомним, ранее сообщалось, что бывшего мэра Владимира Дмитрия Наумова приговорили к 8 годам лишения свободы за получение взятки в размере не менее 1,1 миллиона рублей.",Замглавы Челябинской области Фалейчика задержали правоохранители
"Охранника из Анапы, спасшего учеников, могут дважды наградить посмертно","Погибшего охранника в техникуме Анапы могут дважды наградить посмертно и установить памятную доску с его именем. Об этом сказал руководитель ассоциации структур безопасности Роман Насонов. Ранее стало известно о гибели 55-летнего охранника Николая Замараева, который встал на пути студента, ворвавшегося с ружьем в учебное заведение. Пострадали три человека, нападавший задержан. Охранник проявил героизм, первым приняв удар и вызвав полицию. Губернатор Вениамин Кондратьев подтвердил его гибель. Николай Замараев заслуживает награды посмертно, отметил в комментарии aif.ru руководитель ассоциации структур безопасности «Русь», эксперт по безопасности Роман Насонов. «Предполагаемое награждение гражданина России зависит от его статуса. Если бы он был военнослужащим, ходатайство о награждении написал бы командир части и вышестоящие инстанции. В таких случаях, как этот, ходатайство исходит от руководителя субъекта федерации», — отмечает Роман Насонов. Далее документы уходят в администрацию президента. Также может быть рассмотрена возможность вручения ведомственной награды от Росгвардии. «А также, может быть, и ведомственная награда Росгвардии. Здесь решения принимает директор этого ведомства. За один и тот же поступок могут быть вручены две награды, если следующая награда имеет более высокий статус. Я думаю, это вполне возможно. Этот человек действительно совершил героический поступок, и его нужно наградить», — говорит специалист. Эксперт предложил и еще одну меру увековечения памяти — установление памятной доски в здании техникума. «А если бы ещё установили памятную доску на входе в школу с его изображением и описанием подвига, это было бы достойным решением», — прокомментировал Роман Насонов. Семье охранника, погибшего в техникуме Анапы во время стрельбы, окажут медицинскую, социальную и психологическую помощь. Об этом сообщила мэр Светлана Маслова.","Охранника из Анапы, спасшего учеников, могут дважды наградить посмертно"
ВСУ готовят провокации на Запорожской АЭС,"Киевский режим может предпринять попытку провокации на Запорожской АЭС, которую контролирует Россия, заявил aif.ru военный эксперт, капитан первого ранга запаса Василий Дандыкин. «Враг будет пытаться устроить провокации в отношении Запорожской АЭС в Энергодаре, которую мы контролируем», – сказал Дандыкин, говоря о ситуации на запорожском направлении. Он добавил, что группировка войск «Днепр» приближается к Запорожью, расстояние до города составляет около 15 км. Ранее сообщалось, что ВС РФ в ночь на 11 февраля нанесли удар по целям в Запорожье, под удар попала подстанция «Александровская», из-за чего часть левобережья оказалась обесточена.",ВСУ готовят провокации на Запорожской АЭС
Эксперт по безопасности оценил действия погибшего охранника техникума Анапы,"Закон не обязывал охранника техникума Анапы жертвовать жизнью ради спасения учеников, однако у других сотрудников учебного не было шансов остановить нападавшего с ружьем. Об этом рассказал эксперт в сфере безопасности Роман Насонов, назвав поступок охранника из Краснодарского края героическим. Напомним, во время нападения на индустриальный техникум в Анапе погиб охранник, который первым перехватил нападавшего и не дал ему пройти дальше в учреждение. По словам, руководителя ассоциации структур безопасности «Русь», эксперта по безопасности Романа Насонова, охранник школы или техникума имеет возможность остановить человека с оружием. «Он должен это сделать. Следует заранее проводить тренировки таких действий. Для большей эффективности, лучше применять меры в строго ограниченном пространстве и находиться под контролем охранника. Например, в узком проходе между металлическими дверями, которые можно заблокировать», — отмечает Роман Насонов в комментарии aif.ru. По словам эксперта, закон не обязывает охранника жертвовать своей жизнью, однако, если кто и может спасти детей и учителей, то только он. «Конечно, сотрудник охраны не обязан жертвовать своей жизнью и здоровьем. Ни один закон не требует этого. Однако многие из них — взрослые люди, которые видят перед собой преступника, чьи действия незаконны и угрожают жизням детей. Охранник, как взрослый человек, не может оставаться в стороне. В этом здании, на этой территории, в этой школе нет никого, кто был бы лучше подготовлен к такой ситуации. Учителя и студенты техникума не имеют такой подготовки и не смогут защитить себя. Сотрудник охраны из Анапы проявил героизм», — сказал Роман Насонов. По словам эксперта, всё зависит от личных качеств сотрудника безопасности, его патриотизма, готовности действовать и, конечно, отсутствия трусости. Семья охранника, погибшего при стрельбе в техникуме Анапы, получит медицинскую, социальную и психологическую помощь. Об этом сообщила мэр Светлана Маслова. Студент открыл стрельбу в техникуме, пострадали три человека. Нападавший задержан. Губернатор Вениамин Кондратьев сообщил, что охранник проявил героизм, не дав нападавшему пройти дальше. По факту нападения возбуждено уголовное дело.",Только он мог спасти детей
"Добровольская сказала, какие старинные имена для детей вошли в моду","На имена распространяется некая мода и принадлежность к определенным социальным группам, поэтому сейчас популярны многие древнерусские имена, сообщила в беседе с aif.ru фольклорист, заведующая фольклорно-этнографическим отделом Государственного республиканского центра русского фольклора Варвара Добровольская. Специалист подчеркнула, что старыми могут быть вполне привычные современному человеку имена. Например, среди популярных женских имен сейчас можно встретить Дарью, Анастасию, Варвару, Евдокию. При этом имя Светлана, которое тоже является древним, сейчас встречается довольно редко среди новорожденных. «На имена распространяется некая мода и принадлежность к определенным социальным группам. Если мы сейчас посмотрим на имена людей, рожденных в 65-75-м годах прошлого века, мы сможем проследить некую принадлежность их родителей к социальным группам. Хотя некоторые древнерусские имена сейчас являются абсолютно проходными: Дарья, Анастасия, Варвара, Евдокия. А раньше так своих детей называли представители научной или творческой интеллигенции, особенно в Москве и Санкт-Петербурге», - пояснила специалист. Примечательно, что имя Евдокия изначально распространялось именно в крестьянской среде, наряду с Феклой, Агафьей, Дарьей, Матреной, Марфой. Среди мужских имен крестьянскими считались Архип, Фрол, Анисим, Егор, Савелий, Кузьма. Ранее Добровольская объяснила значение набирающего популярность имени Елисей.","Дарья, Анастасия, Варвара, Евдокия, Елисей, Архип, Фрол, Анисим, Егор, Савелий, Кузьма"
"Священник Сеньчуков ответил, можно ли православным праздновать Масленицу","Россияне отпраздную Масленицу уже на следующей неделе - с 16 по 22 февраля. Иеромонах Феодорит (Сергей Сеньчуков) в беседе с aif.ru рассказал, можно ли православным отмечать языческий праздник. Напомним, вся следующая неделя будет масленичной. В понедельник отмечают «Встречу» - начало праздничных гуляний, во вторник -«Заигрыши», особенностью которых являются молодежные развлечения, катания с горок. В среду - «Лакомка» - день обильного застолья, а в четверг - «Разгуляй», который традиционно связывают с массовыми катаниями, кулачными боями, штурмом снежных крепостей. Пятница во время Масленицы знаменует «Тещины вечерки», а суббота - «Золовкины посиделки». В воскресенье отмечают «Прощеное воскресенье», в этот же день провожают Масленицу и сжигают чучело. Иеромонах Феодорит, комментируя древнеславянский праздник, отметил, что православным праздновать его не запрещено. «Праздновать Масленицу, конечно, можно, но именно как народную традицию», - подчеркнул Сеньчуков. Ранее священник Сеньчуков ответил, попадают ли в рай домашние животные.",Можно
"Песков уверен, что искусственный интеллект никогда не заменит человека","Искусственный интеллект (ИИ) никогда не станет живым сознанием и не сможет заменить человека, заявил пресс-секретарь российского лидера Дмитрий Песков. «Он никогда не заменит человека. Никогда», — сказал представитель Кремля, которого цитирует «Ньюм ТАСС». По словам пресс-секретаря, живым может быть только сознание. При этом, как обратил внимание Песков, ИИ остаётся лишь программным продуктом. Он также сравнил настороженность по поводу искусственного интеллекта с отношением к первым станкам во время восстания луддитов. «Когда появлялись первые станки в Англии, там же тоже были восстания против первых станков. Сейчас же мы станки считаем полезными», — добавил представитель Кремля. Пресс-секретарь убеждён, что отношение к искусственному интеллекту будет меняться аналогичным образом. Напомним, в середине декабря Песков рассказал, что президент России Владимир Путин внимательно относится к вопросам, связанным с ИИ. Он подчеркнул, что тема искусственного интеллекта является новой и развивается в ускоренном темпе. В конце января пресс-секретарь российского лидера проинформировал, что в работе сотрудников Кремля использование нейросетей стало стандартной практикой.","Песков уверен, что искусственный интеллект никогда не заменит человека"
Синоптик Позднякова: на Москву идут ледяные дожди,"В конце этой недели в Москве ожидаются ледяные дожди, которые чреваты сильным гололедом. Главный специалист информационного агентства «Метеоновости» Татьяна Позднякова в беседе с aif.ru рассказала, какой погодой закончится эта неделя. Напомним, синоптики ранее предупредили жителей столичного региона о мокром снеге и дожде в конце недели - 13 и 14 февраля. На дорогах в эти дни появится снежная каша, а температура впервые с начала этого года может подняться выше нуля - до 0...+2 градусов. «В пятницу и субботу на этой неделе ожидаются осадки. Возможен гололед. Ледяной дождь может привести к тому, что осадки будут прилипать к охлажденным поверхностям проводов, деревьев, зданий. Такое возможно, но гололед в целом будет иметь краткосрочный характер. Потому что днем в пятницу и в субботу, вероятнее всего, будут плюсовые температуры», - пояснила специалист. Позднякова добавила, что сразу после ледяных дождей возможны морозы. Ранее синоптик Позднякова назвала сроки наступления климатической весны в Москве. Специалист подчеркнула, что сильных морозов в этом году ждать не стоит. Пик похолодания, как правило, приходится на стык января и февраля.",Ожидается мокрый снег и дождь
"HR-эксперт Мурадян объяснил, как стать сварщиком с зарплатой 250 тысяч","Сварщики возглавили рейтинг самых прибыльных профессий в январе этого года. HR-эксперт Гарри Мурадян рассказал aif.ru, как стать сварщиком и заработать до 250 тысяч рублей. Напомним, в январе 2026 года рейтинг самых прибыльных профессий возглавили сварщики с медианной зарплатой 267,3 тысячи рублей. В топ прибыльных профессий также вошли дата-сайентисты, риелторы, геологи. «Сварщик - очень востребованная профессия. По уровню входа это не “космос”: базовые навыки можно получить в колледже или на курсах за 6–12 месяцев, а первые деньги начать зарабатывать уже после первичной аттестации», - отметил специалист. Однако для получения зарплаты «выше рынка» придется наработать опыт. «Чтобы стать тем самым сварщиком, которому готовы платить 200–250 тысяч и выше, нужно 2–4 года практики, постоянное повышение разрядов, освоение разных видов сварки и работа на сложных объектах», - пояснил эксперт. Среди минусов этой профессии Мурадян назвал тяжелые условия труда и высокую ответственность. Ранее HR-эксперт сказал о дефиците дворников при зарплате в 100 тысяч рублей.",Нужен опыт работы 2 - 4 года
Квартира по новому адресу Долиной находится в промзоне,"Двухкомнатная квартира в Лефортово, где теперь прописана российская певица Лариса Долина, находится в доме, у которого есть ряд недостатков. Aif.ru выяснил, на что жалуются жильцы. Напомним, в декабре прошлого года Верховный суд РФ постановил оставить право собственности на пятикомнатную квартиру в Хамовниках за покупательницей Полиной Лурье. Долина продала ей квартиру еще летом 2024 года, но позже заявила, что действовала под влиянием мошенников, и попыталась вернуть жилье через суд. Сейчас артистка живет в съемном жилье, а в двухкомнатной квартире в доме на Танковом проезде, по словам местных жителей, складирует вывезенные из квартиры в Хамовниках вещи. Отмечается, что квартиру в Лефортово артистка купила еще в 2006 году. «Расположение дома оставляет желать лучшего, до метро идти минут 20. Да, рядом есть парк, но в целом не самый экологичный район», - сообщил Дмитрий. О расположении рядом с домом нескольких промышленных предприятий рассказал и еще один местный житель Валентин. «До метро “Площадь Ильича” дойти можно пешком, но все же 18-20 минут - это не пять. Можно доехать на трамвае или автобусе до станции, но бывают пробки. До МКАД далековато. Есть сомнения насчет экологии. Промзона вокруг - это не очень приятно. Хоть и есть рядом парк Казачьей Славы и набережная Яузы, но до них еще дойти надо, а выхлопы и шум транспорта никуда не денутся. Экология пока оставляет желать лучшего», - написал он. Ранее психолог Ланг указал на сильную тревогу Долиной во время разговора с банком перед переводом денег мошенникам.",Квартира по новому адресу Долиной находится в промзоне
Стала известна стоимость нового жилья Долиной в Лефортово,"Квартира в доме в Лефортова, где сейчас зарегистрирована артистка Лариса Долина, стоит порядка 20 миллионов, цены варьируются в зависимости от количества комнат и этажа, выяснил aif.ru. Напомним, в декабре прошлого года Верховный суд РФ постановил оставить право собственности на пятикомнатную квартиру в Хамовниках за покупательницей Полиной Лурье. Долина продала ей квартиру еще летом 2024 года, но позже заявила, что действовала под влиянием мошенников, и попыталась вернуть жилье через суд. Сейчас, по словам самой артистки, квартиру в Москве она снимает, поскольку не может купить себе жилье. При этом на нее зарегистрирована квартира в Лефортово, дом находится на Танковом проезде. По словам соседей, Долину они там не видели, однако в квартиру активно перевозят вещи, как предполагается, для хранения до покупки нового жилья. Aif.ru выяснил, что двухкомнатная квартира Долиной находится в скромной пятиэтажке. Стоимость квартир там варьируется от 12 до 20 миллионов рублей. При этом на данный момент актуальных объявлений о продаже нет. Снять жилье можно за 60 тысяч рублей в месяц. Риелторы отмечают, что дом довольно старый - 1961 год. Дом панельный, есть четыре подъезда. Внутри - мусоропровод. Примечательно, что стоимость этой квартиры Долиной в шесть раз меньше, чем та, которую она продала Лурье. «Двушку» в Лефортово артистка приобрела еще в 2006 году. Ранее эксперт по лжи Панкратов назвал главные ошибки Долиной.", 20 миллионов рублей
Скончался барабанщик группы The Pogues Эндрю Ранкен,"Барабанщик и один из основателей англо-ирландской фолк-панк-группы The Pogues Эндрю Ранкен ушёл из жизни в возрасте 72 лет, сообщается на странице музыкального коллектива в социальной сети Instagram*. «С глубокой печалью мы сообщаем о кончине Эндрю Ранкена, барабанщика, одного из основателей и сердца группы The Pogues. Эндрю, спасибо тебе за всё: за дружбу, за остроумие и щедрость духа и, конечно, за музыку. Ты останешься навсегда нашим другом и братом», — отмечается в сообщении. Причины смерти музыканта не уточняются. Группа The Pogues образовалась в 1982 году в Лондоне. Она получила известность во второй половине 1980-х годов. В 1996 году коллектив прекратил выступления. В 2001 году The Pogues возобновила концертную деятельность. В 2014 году группа окончательно прекратила существование. В августе 2022 года умер бас-гитарист The Pogues Дэррил Хант. Ему было 72 года. В ноябре 2023 года в возрасте 65 лет скончался фронтмен этой группы Шейн Макгоуэн. Перед смертью он проходил лечение от последствий вирусного энцефалита. * Корпорация Meta (владелец Facebook, Instagram, WhatsApp и Threads) признана экстремистской и запрещена в РФ.",Скончался барабанщик группы The Pogues Эндрю Ранкен
При стрельбе в техникуме в Анапе были ранены сотрудница и учащийся,"Сотрудница индустриального техникума в Анапе и учащийся были ранены в результате стрельбы, устроенной 11 февраля в этом образовательном учреждении, сообщили в Следственном комитете России. «Огнестрельные ранения получили несовершеннолетний учащийся, сотрудница техникума и охранник», — отметили в ведомстве. Двоих пострадавших госпитализировали. Охранник погиб. В СК РФ уточнили, что следователи направят ходатайство об аресте подозреваемого в нападении. Напомним, при стрельбе в индустриальном техникуме в Анапе охранник помешал нападавшему пройти внутрь учебного заведения. Мужчина среагировал оперативно, заблокировал двери и вызвал правоохранительные органы. При этом нападавший подошел к закрытой двери и выстрелил в охранника через неё. Студенты техникума услышали крики на улице и увидели из окон бегущих людей. Учащиеся забаррикадировались после того, как услышали выстрелы. Подозреваемого в нападении задержали сотрудники правопорядка. Глава Анапы Светлана Маслова назвала героизмом действия охранника техникума, который погиб при исполнении обязанностей.",При стрельбе в техникуме в Анапе были ранены сотрудница и учащийся
Трамп подписал указ о снабжении военных баз США от угольных станций,"Президент США Дональд Трамп подписал указ, обязывающий Пентагон закупать электроэнергию у американских угольных электростанций для обеспечения военных баз. Документ предусматривает, что министр обороны совместно с министром энергетики должны заключать долгосрочные соглашения с предприятиями угольной отрасли для снабжения объектов оборонного ведомства и других стратегически важных структур. В Белом доме пояснили, что цель решения заключается в повышении надежности энергоснабжения военных объектов и снижении зависимости от нестабильных возобновляемых источников, включая ветровую и солнечную генерацию. Указ рассматривается как часть более широкой политики по поддержке традиционной энергетики и укреплению энергетической безопасности. Во время встречи с шахтерами Трамп подчеркнул важность угольной промышленности и выразил мнение, что предыдущая администрация уделяла ей недостаточно внимания. Он также отметил приверженность работников отрасли своему делу и заявил, что многие из них поддерживают его политический курс. Ранее сообщалось, что американской прокуратуре не удалось привлечь к уголовной ответственности шестерых конгрессменов-демократов, которые призывали военнослужащих не подчиняться приказам президента Дональда Трампа.",Трамп подписал указ о снабжении военных баз США от угольных станций
"У берегов Курил зафиксировали два землетрясения магнитудой выше 5,0","Сейсмологи зарегистрировали 12 февраля два землетрясения магнитудой 5,1 и 5,3 у побережья Курильских островов, сообщили в филиале Единой геофизической службы РАН. В населённых пунктах южной группы Курил могли ощущаться подземные толчки силой до 3 баллов. Первое сейсмособытие, магнитуда которого составляла 5,1, произошло в 03:35 (19:35 мск 11 февраля) в 291 км южнее острова Симушир. Его очаг залегал на глубине 63 километра. Ещё одно землетрясение было зафиксировано в 05:00 (21:00 мск 11 февраля) в 55 км северо-восточнее села Малокурильское (остров Шикотан). Очаг подземных толчков во втором случае залегал на глубине 66 километров. Напомним, 8 февраля в Охинском районе на севере Сахалина произошло землетрясение магнитудой 4,4. Его эпицентр располагался приблизительно в 42 километрах к юго-западу от села Москальво, очаг — на глубине примерно 13 километров. Подземные толчки могли ощутить жители Москальва, Некрасовки и города Охи. Угроза цунами не объявлялась. 1 февраля стало известно, что у южного побережья острова Тонгатапу, крупнейшего в составе Королевства Тонга, было зафиксировано землетрясение магнитудой 5,8. Эпицентр сейсмособытия находился примерно в 112 километрах к северо-востоку от столицы страны Нукуалофа.","У берегов Курил зафиксировали два землетрясения магнитудой выше 5,0"
"Гороскоп на сегодня, 12 февраля 2026 года: что ждет все знаки зодиака","День непростой, но при оптимистичном настрое все сложится благополучно. В важных делах полагайтесь только на себя — и все сбудется! Если вы давно хотели заняться чем-то необычным, то сейчас пришло это время. Во второй половине дня отправляйтесь на людное мероприятие — можете оказаться в центре внимания. В этот день дел может быть гораздо больше, чем сил на их выполнение. На вас постараются «повесить» не только чужие проблемы, но и большую ответственность. Не поддавайтесь! Начните день с самых полезных дел и не откладывайте на потом важные вопросы. После обеда благоприятно поискать новый источник дохода. Вечером звезды рекомендуют отдохнуть. Прекрасный день для новых знакомств и романтических свиданий. Отношения, начавшиеся в этот день имеют шансы на серьезное продолжение. Весь день недоброжелатели будут провоцировать вас на выброс негативных эмоций. Постарайтесь не вступать в конфликт, а в личной жизни не принимайте опрометчивых решений. Утро лучше начать с чего-то понятного и простого. День будет удачным. После обеда избегайте людей, которым надо что-то доказывать и не рискуйте с финансами. День достаточно сложный. Есть вероятность незапланированных расходов и не самых оптимальных решений. Не спешите приступать к воплощению новых идей или полученных советов.",Гороскоп
Зима сдает позиции. В Москве ждут первый дождь 2026 года,"В конце текущей недели в Москве ожидается первый дождь 2026 года. Вместе с ним придёт долгожданная оттепель: воздух прогреется до +3°C, снег станет мокрым, а сугробы заметно просядут — об этом сообщил ведущий специалист центра погоды «Фобос» Евгений Тишковец. С понедельника, 9 февраля, столица находилась во власти крепкого мороза. На главной метеостанции ВДНХ фиксировали около −10°C, а после обильных снегопадов средняя высота сугробов достигла 48 см. Эти цифры стали итогом самого длинного непрерывного периода устойчивого минуса этой зимой — 47 суток подряд. К середине недели морозы уже ослабли, однако многим москвичам всё равно кажется, что на улице холоднее, чем показывает термометр. Этот эффект объяснил руководитель прогностического центра «Метео» Александр Шувалов. По его словам, решающую роль играют ветер и влажность. «При отсутствии ветра вокруг тела сохраняется тонкий тёплый слой воздуха — он как бы защищает человека от холода. Но стоит подуть ветру, этот слой быстро сдувается, и мороз начинает ощущаться намного сильнее; повышенная влажность усиливает тот же эффект. Такова физика», — отметил он. Именно поэтому при реальных −15...-10°C погода нередко воспринимается как значительно более суровая. Конец зимы? В Москве ожидается +3 и первый дождь Подробнее Настоящий перелом наступит уже в ночь на 12 февраля. Как пояснил Евгений Тишковец, в четверг температурный фон станет мягче: ночью ожидается около −7...-4°C, днём — примерно −3...0°C, а поздним вечером возможен первый в этом году переход через ноль. Кульминацией станет пятница, 13 февраля — день, когда в столице, вероятно, пойдет первый дождь. «Осадки придут вместе с потеплением. Ночью 13 февраля ожижается от −3 до 0°C, а днём воздух может прогреться до +3°C», — уточнил Тишковец. Он добавил, что ветер сменит направление на южное и усилится до 5-10 м/с. Оттепель принесут тёплые атлантические воздушные массы. Если во вторник и среду температура была примерно на 5°C ниже климатической нормы, то в пятницу и субботу, 13 и 14 февраля, она, напротив, окажется на 7-8°C выше неё. Снежный покров тоже начнёт стремительно меняться. «После снегопадов средняя высота сугробов составляет 48 см, однако к концу недели они осядут до 35 см из-за мокрого снега и дождя», — подчеркнул синоптик. По его словам, снег сначала перейдёт в мокрый, затем — в дождь, а оттепель сохранится и в субботу, 14 февраля.",Ожидается дождь
